year,state,west,midwest,northeast,southeast,southwest,drought,flooding,freeze,severe storm,tropical cyclone,wildfire,winter storm,Cost,Avg_Tmp,Min_Tmp,Max_Tmp,Precip,Avg_Elevation,Unemployment,Population,Size,GDP,Inflation_Rate,Personal Income
1980,SC,0,0,0,1,0,1,0,0,0,0,0,0,2000,61.4,49.3,73.4,40.97,#N/A,6.725,3121820,32020,27607,0.1355,24249
1980,SD,0,1,0,0,0,1,0,0,0,0,0,0,2000,47,33.9,60.1,14.55,200,4.716666667,690768,77121,6760,0.1355,5564
1980,TN,0,0,0,0,1,1,0,0,0,0,0,0,2000,56.7,44.8,68.5,42.16,350,7.225,4591120,42144,44972,0.1355,#N/A
1980,TX,0,0,0,0,1,1,0,0,0,1,0,0,5000,64.9,52.2,77.6,23.88,2200,5.25,14229191,268580,203073,0.1355,141515
1980,UT,1,0,0,0,0,0,0,0,0,0,0,0,0,48.6,35.9,61.4,14.67,900,6.275,1461037,84898,15311,0.1355,12505
1980,VA,0,0,0,0,1,1,0,0,0,0,0,0,2000,53.9,42.5,65.4,32.35,1700,5.108333333,5346818,42774,58669,0.1355,54257
1980,VI,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,6100,#N/A,#N/A,#N/A,#N/A,0.1355,#N/A
1980,VT,0,0,1,0,0,0,0,0,0,0,0,0,0,39.6,28.7,50.6,35.13,950,5.933333333,511456,9615,4856,0.1355,4407
1980,WA,1,0,0,0,0,0,0,0,0,0,0,0,0,47.1,38,56.2,41.57,#N/A,7.925,4132156,71300,52682,0.1355,44912
1980,WI,0,1,0,0,0,0,0,0,0,0,0,0,0,42.3,31.7,52.9,31.87,1000,7.366666667,4705767,65498,52899,0.1355,47518
1980,WV,0,0,0,0,1,0,0,0,0,0,0,0,#N/A,49.9,38.8,61,42.11,1700,10.13333333,1949644,24230,18408,0.1355,15739
1980,WY,1,0,0,0,0,0,0,0,0,0,0,0,0,42.9,30,55.8,14.36,1050,3.825,469557,97813,10428,0.1355,5532
1981,AK,1,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,1500,9.183333333,418491,663267,21824,0.1033,6916
1981,AL,0,0,0,1,0,0,0,0,1,0,0,0,500,62.3,50,74.5,50.97,6700,10.69166667,3918531,52419,40257,0.1033,33931
1981,AR,0,0,0,1,0,0,0,0,0,0,0,0,0,60,48.8,71.2,47.82,1900,8.6,2293201,53179,22891,0.1033,19509
1981,AZ,0,0,0,0,1,0,0,0,0,0,0,0,0,60.9,47,74.9,13.37,500,6.191666667,2810107,113998,34269,0.1033,29737
1981,CA,1,0,0,0,0,0,0,0,0,0,0,0,0,58.8,46.5,71.1,26.09,650,7.433333333,24285933,163695,368808,0.1033,31920
1981,CO,1,0,0,0,0,0,0,0,0,0,0,0,0,46.5,33,60.1,19.75,4100,5.641666667,2977898,104093,43974,0.1033,35967
1981,CT,0,0,1,0,0,0,0,0,0,0,0,0,0,48.4,38.1,58.7,46.4,2900,6.2,3128836,5544,45642,0.1033,43116
1981,DC,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,6800,#N/A,636893,#N/A,#N/A,0.1033,#N/A
1981,DE,0,0,1,0,0,0,0,0,0,0,0,0,0,53.5,43.5,63.5,39.96,500,7.783333333,595975,2489,8839,0.1033,7048
1981,FL,0,0,0,1,0,0,0,1,0,0,0,0,2000,69.9,58.3,81.6,46.31,#N/A,6.8,10192774,65755,112167,0.1033,113148
1981,GA,0,0,0,1,0,0,0,0,0,0,0,0,0,62.6,50.4,74.8,45.9,60,6.45,5568345,59425,63751,0.1033,52303
1981,HI,1,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,100,5.175,978195,10931,14640,0.1033,11968
1981,IA,0,1,0,0,0,0,0,0,0,0,0,0,0,47.7,36.8,58.6,33.67,600,6.516666667,2907983,56271,38272,0.1033,31521
1981,ID,1,0,0,0,0,0,0,0,0,0,0,0,0,43.6,32,55.3,28.45,3030,7.65,962204,83570,10677,0.1033,9023
1981,IL,0,1,0,0,0,0,0,0,0,0,0,0,0,51,40.8,61.3,45.57,1100,8.625,11443458,57914,159649,0.1033,139035
1981,IN,0,1,0,0,0,0,0,0,0,0,0,0,0,50.4,40.1,60.7,46.12,5000,9.7,5480435,36418,64724,0.1033,56379
1981,KS,0,1,0,0,0,0,0,0,1,0,0,0,100,55,42.6,67.4,30.62,600,4.325,2384849,82276,31978,0.1033,26703
1981,KY,0,0,0,1,0,0,0,0,0,0,0,0,0,54.4,43.2,65.5,48.76,700,8.591666667,3670394,40410,41068,0.1033,33004
1981,LA,0,0,0,1,0,0,0,0,1,0,0,0,100,66.4,55.4,77.5,47.46,2000,8.441666667,4283303,51840,77201,0.1033,42794
